Week,Day,Platform,Content Pillar,Format,Title,CTA,Source,Primary Metric,Status
1,1,Instagram/TikTok/Shorts,Free Game,Tool Put-On,One AI tool I would use before starting a side brand,Comment TOOL if you want the setup,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
1,2,Instagram Stories,Community Seed,Question,What are you trying to get put on to right now,Reply with one area,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
1,3,LinkedIn/X,Build In Public,Build Lesson,The difference between a tool and a system,Ask where their workflow gets stuck,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
1,4,Instagram/TikTok/Shorts,Lifestyle Proof,Workout Clip,Hotel gym or quick workout rule that keeps me consistent,Save for your next travel day,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
1,5,Instagram Carousel,Free Game,Setup Tour,My travel creator kit for staying useful on the road,Comment SETUP for the list,docs/project/Right-Thurr-Free-Game-Prelaunch.md,DMs,Idea
1,6,Instagram Stories,Lifestyle Proof,Healthy Eats,Healthy airport or quick-meal find,Reply FOOD if you want more finds,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
1,7,LinkedIn/X,Community Seed,Prompt,Drop one tool app meal workout or person people should know,Invite replies,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
2,8,Instagram/TikTok/Shorts,Free Game,Tool Put-On,AI workflow for turning one idea into five posts,Comment CONTENT,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
2,9,Instagram Stories,Lifestyle Proof,Travel Lesson,One thing travel taught me about moving smarter,Ask for city recommendations,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
2,10,LinkedIn/X,Build In Public,Build Lesson,What I am learning building Thurr Solutions systems,Ask operators what they want automated,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
2,11,Instagram/TikTok/Shorts,Lifestyle Proof,Workout Clip,No-excuse 20 minute workout template,Save for later,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
2,12,Instagram Carousel,Free Game,People Doing Things,Three people doing useful work right now,Tag someone who should be on the list,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Shares,Idea
2,13,Instagram Stories,Community Seed,Poll,What should the next Free Game drop be AI fitness food travel or business,Vote,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Votes,Idea
2,14,LinkedIn/X,Free Game,Setup Tour,The simplest AI setup for a solo operator,Comment SETUP,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
3,15,Instagram/TikTok/Shorts,Free Game,Tool Put-On,AI tool check before I recommend anything,Ask what tool people are considering,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
3,16,Instagram Stories,Lifestyle Proof,Healthy Eats,My quick grocery rule when I am busy,Reply MEAL,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
3,17,LinkedIn/X,Build In Public,Build Lesson,How I think about AI without turning into a hype account,Ask what people want demystified,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
3,18,Instagram/TikTok/Shorts,Lifestyle Proof,Travel Lesson,One travel habit that keeps the day from getting messy,Save for your next trip,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
3,19,Instagram Carousel,Community Seed,Challenge,Seven day useful setup challenge,Join the challenge,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Signups,Idea
3,20,Instagram Stories,Free Game,Question Box,Send me an AI tool and I will tell you if I would use it,Submit a tool,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
3,21,LinkedIn/X,Lifestyle Proof,People Doing Things,The kind of people I want around Right Thurr,Tag a builder,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Shares,Idea
4,22,Instagram/TikTok/Shorts,Free Game,Setup Tour,My phone home screen for travel work and fitness,Comment PHONE,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
4,23,Instagram Stories,Community Seed,Question,Would you join a Free Game circle if it stayed practical,Vote yes/no,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Votes,Idea
4,24,LinkedIn/X,Build In Public,Build Lesson,Why I am building audience before store,Ask what people would buy only after trust,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
4,25,Instagram/TikTok/Shorts,Lifestyle Proof,Workout Clip,Travel day stretch or recovery routine,Save for your next flight,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
4,26,Instagram Carousel,Free Game,Tool Put-On,Five AI tools categories worth knowing not five random apps,Comment TOOLBOARD,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Saves,Idea
4,27,Instagram Stories,Lifestyle Proof,Healthy Eats,Healthy eat spot or meal of the week,Reply CITY for the list,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
4,28,LinkedIn/X,Community Seed,Prompt,What should Right Thurr put people on to next,Collect replies,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Replies,Idea
5,29,Instagram/TikTok/Shorts,Build In Public,Build Lesson,What the first 30 days taught me,Join the waitlist,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Signups,Idea
5,30,Instagram Carousel,Community Seed,Recap,Right Thurr Free Game board month one,Ask what should become a weekly series,docs/project/Right-Thurr-Free-Game-Prelaunch.md,Comments,Idea
