Title,Description,Priority,Status,Labels
WEB-001 — Replace Homepage Hero Positioning,Backlog ID: WEB-001 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Reposition homepage from single-niche demo to Thurr Solutions lead systems for local service businesses. | Acceptance: Homepage first viewport clearly sells Thurr Solutions B2B lead systems; primary CTA routes to Lead Flow Audit; Dallas Mobile Detailing is not the hero headline; mobile text fits without overlap; npm run build passes. | Dependencies: None.,Urgent,Done,codex-backlog;web;now
WEB-002 — Add Three-Step Operating Model Section,Backlog ID: WEB-002 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Add a clear Audit → Build → Manage section to explain the buyer path. | Acceptance: Section appears above detailed demos/use cases; each step has one outcome-focused sentence; CTA points to /audit; desktop and mobile layout are stable; npm run build passes. | Dependencies: WEB-001.,Urgent,Done,codex-backlog;web;now
WEB-003 — Add Offer Ladder Section,"Backlog ID: WEB-003 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Show the starter offer and upsell path without confusing buyers. | Acceptance: Four-card offer ladder appears on homepage; Lead Flow Audit is visibly the first step; each card has outcome, price band, CTA or next action; mobile cards do not overflow; npm run build passes. | Dependencies: WEB-001.",Urgent,Done,codex-backlog;web;now
WEB-004 — Demote Dallas Mobile Detailing To Demo Lane,Backlog ID: WEB-004 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Keep Dallas Mobile Detailing as proof/demo context while removing it from core Thurr Solutions positioning. | Acceptance: Homepage no longer reads like Thurr Solutions is only a detailing offer; demo language labels Dallas Mobile Detailing as example/demo; npm run build passes. | Dependencies: WEB-001.,High,Done,codex-backlog;web;next
WEB-005 — Add Industry Targets Strip,Backlog ID: WEB-005 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Show the first target markets without overcommitting to too many verticals. | Acceptance: Site shows 3 primary target lanes and one compliance-gated lane; each lane links or scrolls to relevant examples; npm run build passes. | Dependencies: WEB-003.,High,Done,codex-backlog;web;next
WEB-006 — Add Compliance Guardrail Copy,"Backlog ID: WEB-006 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Add plain-language compliance boundaries for SMS, healthcare, youth wellness, and insurance offers. | Acceptance: Compliance note appears near offer/use-case areas; wording is clear but not fear-based; npm run build passes. | Dependencies: WEB-003.",High,Done,codex-backlog;web;next
WEB-007 — Add Client Proof / Active Pipeline Section,Backlog ID: WEB-007 | Queue: LATER | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Show credible active project types without exposing private client details. | Acceptance: Section communicates credibility without private information; no sensitive identifiers; npm run build passes. | Dependencies: WEB-003.,Medium,Done,codex-backlog;web;later
WEB-008 — Add Website Tracking Documentation,"Backlog ID: WEB-008 | Queue: LATER | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Document where website inquiries go and how Thurr checks them. | Acceptance: Documentation lists each intake path, data destination, owner alert destination, and manual fallback; direct Notion checklist link included; npm run build unaffected. | Dependencies: AUD-002; AUD-003; NOT-002; LIN-002.",Medium,Done,codex-backlog;web;later
DECISION BLOCKER — Website Repo Name / Branch Policy,"Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether branches should be created locally, committed directly, or left uncommitted for review. | Acceptance: Thurr confirms branch/commit/deploy policy. | Dependencies: None.",Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
DECISION BLOCKER — Final Homepage Copy Approval,Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Lock final hero headline/subhead/CTA wording before production polish. | Acceptance: Approved copy pasted into ticket or Notion page. | Dependencies: None.,Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
DECISION BLOCKER — Production Deploy Target,"Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether site deploys to Vercel, Netlify, or both. | Acceptance: Thurr confirms deploy platform and production domain. | Dependencies: WEB-001.",High,Blocked,codex-backlog;decision-blocker;next;blocked
VID-001 — Verify Website Intro Video Embed Path,"Backlog ID: VID-001 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Make sure the homepage intro video component works before the final video asset exists. | Acceptance: If video exists, player renders; if missing, placeholder renders cleanly; CTA remains visible; npm run build passes. | Dependencies: WEB-001.",Urgent,Done,codex-backlog;vid;next
